,id,product,qnt,price,date,month,week
0,lafwmplv9z5tl4w5ucu,prod_1,46.0,55.96,Thu Mar  5 01:45:30 2020,2020-03,0
1,lafwmplv9z5tl4w5ucu,prod_2,32.0,47.56,Thu Mar  5 01:45:30 2020,2020-03,0
2,lafwmplv9z5tl4w5ucu,prod_6,32.0,64.04,Thu Mar  5 01:45:30 2020,2020-03,0
3,lafwmplv9z5tl4w5ucu,prod_7,17.0,20.47,Thu Mar  5 01:45:30 2020,2020-03,0
4,lafwmplv9z5tl4w5ucu,prod_8,296.0,80.48,Thu Mar  5 01:45:30 2020,2020-03,0
5,lafwmplv9z5tl4w5ucu,prod_9,0.0,68.87,Thu Mar  5 01:45:30 2020,2020-03,0
6,lafwmplv9z5tl4w5ucu,prod_11,0.0,15.32,Thu Mar  5 01:45:30 2020,2020-03,0
7,lafwmplv9z5tl4w5ucu,prod_15,331.81513032976255,76.16,Thu Mar  5 01:45:30 2020,2020-03,0
8,lafwmpnmcgoqbfgpr6o,prod_1,10.0,55.96,Wed Mar 11 16:17:54 2020,2020-03,1
9,lafwmpnmcgoqbfgpr6o,prod_2,43.0,47.56,Wed Mar 11 16:17:54 2020,2020-03,1
10,lafwmpnmcgoqbfgpr6o,prod_4,31.0,24.22,Wed Mar 11 16:17:54 2020,2020-03,1
11,lafwmpnmcgoqbfgpr6o,prod_5,40.0,60.15,Wed Mar 11 16:17:54 2020,2020-03,1
12,lafwmpnmcgoqbfgpr6o,prod_9,686.7712450636634,68.87,Wed Mar 11 16:17:54 2020,2020-03,1
13,lafwmpnmcgoqbfgpr6o,prod_11,695.6755692176605,15.32,Wed Mar 11 16:17:54 2020,2020-03,1
14,lafwmpnmcgoqbfgpr6o,prod_15,586.282462251205,76.16,Wed Mar 11 16:17:54 2020,2020-03,1
15,lafwmpp4rjbt6ckwj2r,prod_0,17.0,86.41499999576396,Thu Mar 19 03:21:34 2020,2020-03,2
16,lafwmpp4rjbt6ckwj2r,prod_4,15.0,24.22,Thu Mar 19 03:21:34 2020,2020-03,2
17,lafwmpp4rjbt6ckwj2r,prod_5,22.0,90.22499998322134,Thu Mar 19 03:21:34 2020,2020-03,2
18,lafwmpp4rjbt6ckwj2r,prod_6,35.0,96.05999964119692,Thu Mar 19 03:21:34 2020,2020-03,2
19,lafwmpp4rjbt6ckwj2r,prod_7,19.0,30.70499999999479,Thu Mar 19 03:21:34 2020,2020-03,2
20,lafwmpp4rjbt6ckwj2r,prod_8,359.0,120.72,Thu Mar 19 03:21:34 2020,2020-03,2
21,lafwmpp4rjbt6ckwj2r,prod_11,407.4128955469987,22.98,Thu Mar 19 03:21:34 2020,2020-03,2
22,lafwmpp4rjbt6ckwj2r,prod_15,390.94459576710113,114.24,Thu Mar 19 03:21:34 2020,2020-03,2
23,lafwmpu7bohyy3jrras,prod_1,7.0,125.90948418456206,Wed Mar 25 17:53:42 2020,2020-03,3
24,lafwmpu7bohyy3jrras,prod_4,7.0,36.32999812672316,Wed Mar 25 17:53:42 2020,2020-03,3
25,lafwmpu7bohyy3jrras,prod_5,19.0,135.33749997466242,Wed Mar 25 17:53:42 2020,2020-03,3
26,lafwmpu7bohyy3jrras,prod_7,8.0,46.057499998969234,Wed Mar 25 17:53:42 2020,2020-03,3
27,lafwmpu7bohyy3jrras,prod_8,672.0,181.07999999999998,Wed Mar 25 17:53:42 2020,2020-03,3
28,lafwmpu7bohyy3jrras,prod_9,808.2206279186594,154.9575,Wed Mar 25 17:53:42 2020,2020-03,3
29,lafwmpu7bohyy3jrras,prod_10,752.0933913179829,149.805,Wed Mar 25 17:53:42 2020,2020-03,3
30,lafwmpu7bohyy3jrras,prod_11,681.8311209981255,34.47,Wed Mar 25 17:53:42 2020,2020-03,3
31,lafwmpu7bohyy3jrras,prod_15,80.03069155068387,171.35999999999999,Wed Mar 25 17:53:42 2020,2020-03,3
32,lafwmpxxk8ipt42fj4,prod_0,29.0,194.43374999016734,Thu Apr  2 04:50:13 2020,2020-04,4
33,lafwmpxxk8ipt42fj4,prod_1,25.0,188.86422627541145,Thu Apr  2 04:50:13 2020,2020-04,4
34,lafwmpxxk8ipt42fj4,prod_8,488.0,271.62,Thu Apr  2 04:50:13 2020,2020-04,4
35,lafwmpxxk8ipt42fj4,prod_9,21.809091016765848,232.43625000000003,Thu Apr  2 04:50:13 2020,2020-04,4
36,lafwmpxxk8ipt42fj4,prod_15,61.22975436918209,257.03999999999996,Thu Apr  2 04:50:13 2020,2020-04,4
37,lafwmq7ie8fgqjl308t,prod_1,46.0,283.29633940854563,Wed Apr  8 20:08:49 2020,2020-04,5
38,lafwmq7ie8fgqjl308t,prod_3,48.0,291.8530888998634,Wed Apr  8 20:08:49 2020,2020-04,5
39,lafwmq7ie8fgqjl308t,prod_4,15.0,81.74246049443799,Wed Apr  8 20:08:49 2020,2020-04,5
40,lafwmq7ie8fgqjl308t,prod_8,773.0,407.43,Wed Apr  8 20:08:49 2020,2020-04,5
41,lafwmq7ie8fgqjl308t,prod_15,364.0742826182451,385.55999999999995,Wed Apr  8 20:08:49 2020,2020-04,5
42,lafwmqeorz4mvo99vv,prod_4,33.0,122.61369074127028,Wed Apr 15 20:46:00 2020,2020-04,6
43,lafwmqeorz4mvo99vv,prod_5,39.0,456.7640412126328,Wed Apr 15 20:46:00 2020,2020-04,6
44,lafwmqeorz4mvo99vv,prod_6,28.0,486.303692934322,Wed Apr 15 20:46:00 2020,2020-04,6
45,lafwmqeorz4mvo99vv,prod_8,1011.0,611.145,Wed Apr 15 20:46:00 2020,2020-04,6
